Fecha,Year,IDCliente,IDProducto,Ventas,Costos,Unidades,IDVenta
2024-01-01,2024,C001,P001,1181.72,866.75,89,1
2024-01-01,2024,C001,P002,1158.90,866.75,89,2
2024-01-01,2024,C003,P001,1147.30,866.75,87,3
2024-01-01,2024,C003,P002,1080.73,866.75,87,4
2024-01-02,2024,C002,P001,1195.57,868.50,89,5
2024-01-02,2024,C002,P002,1079.97,868.50,89,6
2024-01-02,2024,C003,P001,1178.55,868.50,88,7
2024-01-02,2024,C003,P002,1058.16,868.50,88,8
2024-01-03,2024,C002,P001,1185.25,870.25,90,9
2024-01-03,2024,C002,P002,1117.78,870.25,90,10
2024-01-03,2024,C003,P001,1129.41,870.25,89,11
2024-01-03,2024,C003,P002,1047.81,870.25,89,12
2024-01-04,2024,C001,P001,1285.71,872.00,92,13
2024-01-04,2024,C001,P002,1087.95,872.00,92,14
2024-01-04,2024,C002,P001,1282.17,872.00,91,15
2024-01-04,2024,C002,P002,1080.17,872.00,91,16
2024-01-04,2024,C003,P001,1134.90,872.00,90,17
2024-01-04,2024,C003,P002,1056.51,872.00,90,18
2024-01-05,2024,C001,P001,1093.17,873.75,93,19
2024-01-05,2024,C001,P002,1185.58,873.75,93,20
2024-01-05,2024,C002,P001,1094.57,873.75,92,21
2024-01-05,2024,C002,P002,1201.79,873.75,92,22
2024-01-05,2024,C003,P001,1117.03,873.75,91,23
2024-01-05,2024,C003,P002,1073.01,873.75,91,24
2024-01-06,2024,C001,P001,1197.12,875.50,94,25
2024-01-06,2024,C001,P002,1207.33,875.50,94,26
2024-01-06,2024,C002,P001,1217.96,875.50,93,27
2024-01-06,2024,C002,P002,1167.10,875.50,93,28
2024-01-06,2024,C003,P001,1246.34,875.50,92,29
2024-01-06,2024,C003,P002,1019.59,875.50,92,30
2024-01-07,2024,C003,P001,1150.85,877.25,93,31
2024-01-07,2024,C003,P002,1072.42,877.25,93,32
2024-01-08,2024,C001,P001,1113.79,879.00,96,33
2024-01-08,2024,C001,P002,1123.13,879.00,96,34
2024-01-08,2024,C002,P001,1185.06,879.00,95,35
2024-01-08,2024,C002,P002,1135.75,879.00,95,36
2024-01-08,2024,C003,P001,1111.84,879.00,94,37
2024-01-08,2024,C003,P002,1070.27,879.00,94,38
2024-01-09,2024,C001,P001,1148.23,880.75,97,39
2024-01-09,2024,C001,P002,1194.04,880.75,97,40
2024-01-09,2024,C002,P001,1181.67,880.75,96,41
2024-01-09,2024,C002,P002,1186.24,880.75,96,42
2024-01-09,2024,C003,P001,1187.25,880.75,95,43
2024-01-09,2024,C003,P002,1212.16,880.75,95,44
2024-01-10,2024,C001,P001,1218.78,882.50,98,45
2024-01-10,2024,C001,P002,1201.45,882.50,98,46
2024-01-10,2024,C002,P001,1172.61,882.50,97,47
2024-01-10,2024,C002,P002,1117.19,882.50,97,48
2024-01-11,2024,C001,P001,1236.51,884.25,99,49
2024-01-11,2024,C001,P002,1146.86,884.25,99,50
2024-01-11,2024,C002,P001,1213.89,884.25,98,51
2024-01-11,2024,C002,P002,1032.69,884.25,98,52
2024-01-11,2024,C003,P001,1253.43,884.25,97,53
2024-01-11,2024,C003,P002,1216.74,884.25,97,54
2024-01-12,2024,C001,P001,1179.72,886.00,100,55
2024-01-12,2024,C001,P002,1173.99,886.00,100,56
2024-01-12,2024,C002,P001,1304.51,886.00,99,57
2024-01-12,2024,C002,P002,1075.04,886.00,99,58
2024-01-13,2024,C001,P001,1244.98,887.75,101,59
2024-01-13,2024,C001,P002,1156.38,887.75,101,60
2024-01-13,2024,C003,P001,1184.69,887.75,99,61
2024-01-13,2024,C003,P002,1121.06,887.75,99,62
2024-01-14,2024,C001,P001,1281.72,889.50,102,63
2024-01-14,2024,C001,P002,1150.44,889.50,102,64
2024-01-14,2024,C002,P001,1306.85,889.50,101,65
2024-01-14,2024,C002,P002,1166.38,889.50,101,66
2024-01-14,2024,C003,P001,1136.18,889.50,100,67
2024-01-14,2024,C003,P002,1183.85,889.50,100,68
2024-01-15,2024,C001,P001,1291.79,891.25,103,69
2024-01-15,2024,C001,P002,1071.75,891.25,103,70
2024-01-15,2024,C002,P001,1163.73,891.25,102,71
2024-01-15,2024,C002,P002,1097.96,891.25,102,72
2024-01-15,2024,C003,P001,1264.02,891.25,101,73
2024-01-15,2024,C003,P002,1064.19,891.25,101,74
2024-01-16,2024,C001,P001,1138.53,893.00,104,75
2024-01-16,2024,C001,P002,1093.46,893.00,104,76
2024-01-16,2024,C003,P001,1211.45,893.00,102,77
2024-01-16,2024,C003,P002,1106.22,893.00,102,78
2024-01-17,2024,C001,P001,1157.66,894.75,105,79
2024-01-17,2024,C001,P002,1110.31,894.75,105,80
2024-01-17,2024,C002,P001,1205.70,894.75,104,81
2024-01-17,2024,C002,P002,1062.29,894.75,104,82
2024-01-17,2024,C003,P001,1297.90,894.75,103,83
2024-01-17,2024,C003,P002,1082.67,894.75,103,84
2024-01-18,2024,C002,P001,1211.53,896.50,105,85
2024-01-18,2024,C002,P002,1230.92,896.50,105,86
2024-01-18,2024,C003,P001,1189.28,896.50,104,87
2024-01-18,2024,C003,P002,1085.76,896.50,104,88
2024-01-19,2024,C001,P001,1303.13,898.25,107,89
2024-01-19,2024,C001,P002,1211.07,898.25,107,90
2024-01-19,2024,C002,P001,1164.75,898.25,106,91
2024-01-19,2024,C002,P002,1212.31,898.25,106,92
2024-01-19,2024,C003,P001,1155.13,898.25,105,93
2024-01-19,2024,C003,P002,1132.27,898.25,105,94
2024-01-20,2024,C001,P001,1158.59,900.00,108,95
2024-01-20,2024,C001,P002,1101.30,900.00,108,96
2024-01-20,2024,C002,P001,1199.45,900.00,107,97
2024-01-20,2024,C002,P002,1167.84,900.00,107,98
2024-01-20,2024,C003,P001,1125.59,900.00,106,99
2024-01-20,2024,C003,P002,1079.57,900.00,106,100
2024-01-21,2024,C001,P001,1215.74,901.75,109,101
2024-01-21,2024,C001,P002,1160.30,901.75,109,102
2024-01-21,2024,C002,P001,1303.14,901.75,108,103
2024-01-21,2024,C002,P002,1044.43,901.75,108,104
2024-01-21,2024,C003,P001,1237.90,901.75,107,105
2024-01-21,2024,C003,P002,1100.07,901.75,107,106
2024-01-22,2024,C001,P001,1127.95,903.50,110,107
2024-01-22,2024,C001,P002,1116.36,903.50,110,108
2024-01-22,2024,C003,P001,1211.77,903.50,108,109
2024-01-22,2024,C003,P002,1213.01,903.50,108,110
2024-01-23,2024,C001,P001,1284.77,905.25,111,111
2024-01-23,2024,C001,P002,1088.29,905.25,111,112
2024-01-24,2024,C001,P001,1163.40,907.00,112,113
2024-01-24,2024,C001,P002,1137.64,907.00,112,114
2024-01-24,2024,C002,P001,1145.03,907.00,111,115
2024-01-24,2024,C002,P002,1082.39,907.00,111,116
2024-01-24,2024,C003,P001,1195.87,907.00,110,117
2024-01-24,2024,C003,P002,1156.69,907.00,110,118
2024-01-25,2024,C001,P001,1171.53,908.75,113,119
2024-01-25,2024,C001,P002,1228.68,908.75,113,120
2024-01-25,2024,C003,P001,1178.28,908.75,111,121
2024-01-25,2024,C003,P002,1055.08,908.75,111,122
2024-01-26,2024,C001,P001,1281.37,910.50,114,123
2024-01-26,2024,C001,P002,1238.09,910.50,114,124
2024-01-26,2024,C002,P001,1291.89,910.50,113,125
2024-01-26,2024,C002,P002,1079.83,910.50,113,126
2024-01-26,2024,C003,P001,1266.92,910.50,112,127
2024-01-26,2024,C003,P002,1106.99,910.50,112,128
2024-01-27,2024,C001,P001,1156.99,912.25,115,129
2024-01-27,2024,C001,P002,1151.53,912.25,115,130
2024-01-27,2024,C002,P001,1154.60,912.25,114,131
2024-01-27,2024,C002,P002,1224.00,912.25,114,132
2024-01-27,2024,C003,P001,1207.95,912.25,113,133
2024-01-27,2024,C003,P002,1232.01,912.25,113,134
2024-01-28,2024,C001,P001,1248.15,914.00,116,135
2024-01-28,2024,C001,P002,1229.67,914.00,116,136
2024-01-28,2024,C002,P001,1172.47,914.00,115,137
2024-01-28,2024,C002,P002,1096.31,914.00,115,138
2024-01-29,2024,C001,P001,1334.06,915.75,117,139
2024-01-29,2024,C001,P002,1065.75,915.75,117,140
2024-01-29,2024,C002,P001,1314.10,915.75,116,141
2024-01-29,2024,C002,P002,1255.51,915.75,116,142
2024-01-29,2024,C003,P001,1270.91,915.75,115,143
2024-01-29,2024,C003,P002,1189.09,915.75,115,144
2024-01-30,2024,C001,P001,1234.48,917.50,118,145
2024-01-30,2024,C001,P002,1226.80,917.50,118,146
2024-01-30,2024,C002,P001,1240.36,917.50,117,147
2024-01-30,2024,C002,P002,1177.52,917.50,117,148
2024-01-30,2024,C003,P001,1322.28,917.50,116,149
2024-01-30,2024,C003,P002,1129.21,917.50,116,150
2024-01-31,2024,C001,P001,1298.17,919.25,119,151
2024-01-31,2024,C001,P002,1067.22,919.25,119,152
2024-01-31,2024,C002,P001,1301.22,919.25,118,153
2024-01-31,2024,C002,P002,1175.27,919.25,118,154
2024-02-01,2024,C001,P001,1240.07,866.75,88,155
2024-02-01,2024,C001,P002,1138.12,866.75,88,156
2024-02-01,2024,C002,P001,1178.60,866.75,87,157
2024-02-01,2024,C002,P002,1111.18,866.75,87,158
2024-02-01,2024,C003,P001,1210.00,866.75,86,159
2024-02-01,2024,C003,P002,1093.60,866.75,86,160
2024-02-02,2024,C001,P001,1122.88,868.50,89,161
2024-02-02,2024,C001,P002,1050.89,868.50,89,162
2024-02-02,2024,C002,P001,1152.50,868.50,88,163
2024-02-02,2024,C002,P002,1134.79,868.50,88,164
2024-02-02,2024,C003,P001,1227.34,868.50,87,165
2024-02-02,2024,C003,P002,1078.87,868.50,87,166
2024-02-03,2024,C001,P001,1222.42,870.25,90,167
2024-02-03,2024,C001,P002,1101.26,870.25,90,168
2024-02-03,2024,C002,P001,1258.65,870.25,89,169
2024-02-03,2024,C002,P002,1092.26,870.25,89,170
2024-02-03,2024,C003,P001,1092.00,870.25,88,171
2024-02-03,2024,C003,P002,1057.43,870.25,88,172
2024-02-04,2024,C001,P001,1132.35,872.00,91,173
2024-02-04,2024,C001,P002,1172.63,872.00,91,174
2024-02-04,2024,C002,P001,1192.88,872.00,90,175
2024-02-04,2024,C002,P002,1014.96,872.00,90,176
2024-02-04,2024,C003,P001,1286.14,872.00,89,177
2024-02-04,2024,C003,P002,1024.84,872.00,89,178
2024-02-05,2024,C001,P001,1213.32,873.75,92,179
2024-02-05,2024,C001,P002,1047.53,873.75,92,180
2024-02-05,2024,C002,P001,1203.77,873.75,91,181
2024-02-05,2024,C002,P002,1061.38,873.75,91,182
2024-02-05,2024,C003,P001,1235.01,873.75,90,183
2024-02-05,2024,C003,P002,1082.02,873.75,90,184
2024-02-06,2024,C001,P001,1263.59,875.50,93,185
2024-02-06,2024,C001,P002,1208.35,875.50,93,186
2024-02-06,2024,C002,P001,1178.95,875.50,92,187
2024-02-06,2024,C002,P002,1083.10,875.50,92,188
2024-02-07,2024,C001,P001,1288.73,877.25,94,189
2024-02-07,2024,C001,P002,1159.18,877.25,94,190
2024-02-07,2024,C003,P001,1183.73,877.25,92,191
2024-02-07,2024,C003,P002,1080.56,877.25,92,192
2024-02-08,2024,C001,P001,1215.68,879.00,95,193
2024-02-08,2024,C001,P002,1048.09,879.00,95,194
2024-02-08,2024,C003,P001,1279.05,879.00,93,195
2024-02-08,2024,C003,P002,1035.52,879.00,93,196
2024-02-09,2024,C001,P001,1284.64,880.75,96,197
2024-02-09,2024,C001,P002,1096.26,880.75,96,198
2024-02-09,2024,C002,P001,1262.15,880.75,95,199
2024-02-09,2024,C002,P002,1110.41,880.75,95,200
2024-02-09,2024,C003,P001,1175.25,880.75,94,201
2024-02-09,2024,C003,P002,1076.73,880.75,94,202
2024-02-10,2024,C001,P001,1152.04,882.50,97,203
2024-02-10,2024,C001,P002,1169.80,882.50,97,204
2024-02-10,2024,C003,P001,1116.53,882.50,95,205
2024-02-10,2024,C003,P002,1062.89,882.50,95,206
2024-02-11,2024,C002,P001,1149.21,884.25,97,207
2024-02-11,2024,C002,P002,1156.98,884.25,97,208
2024-02-11,2024,C003,P001,1265.66,884.25,96,209
2024-02-11,2024,C003,P002,1052.92,884.25,96,210
2024-02-12,2024,C001,P001,1261.31,886.00,99,211
2024-02-12,2024,C001,P002,1104.65,886.00,99,212
2024-02-12,2024,C002,P001,1170.61,886.00,98,213
2024-02-12,2024,C002,P002,1123.55,886.00,98,214
2024-02-12,2024,C003,P001,1277.65,886.00,97,215
2024-02-12,2024,C003,P002,1189.59,886.00,97,216
2024-02-13,2024,C001,P001,1258.46,887.75,100,217
2024-02-13,2024,C001,P002,1077.40,887.75,100,218
2024-02-13,2024,C002,P001,1300.58,887.75,99,219
